시도명,연번,상담소명,주소,"전화번호
(상담소)",상담소 이메일
서울특별시,1,한국여성상담센터,서울시 성북구 보문로22길 신일빌당 4층,02-953-1704,iffemin@hanmail.net
서울특별시,2,한국여성의전화 여성인권상담소,서울시 은평구 진흥로16길 8-4,02-3156-5400,counsel@hotline.or.kr
서울특별시,3,양실가정상담센터,서울시 중구 청구로 19길 9-15,02-2238-6551,sindang03@hanmail.net
서울특별시,4,서울성동가정상담센터,서울시 성동구 무학로2길 7. 3층,02-2297-2911,seouls2015@hanmail.net
서울특별시,5,월계우리가족상담소,서울시 노원구 초안산로 1길 15,02-904-0179,woorif904@hanmail.net
서울특별시,6,은평종합사회복지관 부설 은평가정폭력상담소,서울시 은평구 은평터널로 48,02-326-1366,epcounsel@naver.com
서울특별시,7,서대문가정폭력관련상담소,서울시 서대문구 신촌로 215-2 3층,02-364-0413,wonssuk63@hanmail.net
서울특별시,8,(사)남성의 전화 부설 서울가정폭력상담센터,서울특별시 양천구 목동동로 293(현대41타워 1016-1호),02-2653-1366,sdvc1366@hanmail.net
서울특별시,9,나우미가정폭력상담센터,"서울시 양천구 목동서로 225, 대한민국예술인센터 1213호",02-2062-1366,fusiontec@daum.net
서울특별시,10,사단법인 늘푸른상담협회 부설 가정행복상담센터,"서울시 양천구 중앙로 308-1, 하나로빌딩 2층",02-2605-1366,nkrrc2005@naver.com
서울특별시,11,서울강서양천여성의전화 부설 강서양천가정폭력상담소,서울시 강서구 강서로 159 인폼빌딩 5층,02-2605-8455,skwhl@hanmail.net
서울특별시,12,동산가정폭력상담소,서울시 서초구 서초대로 27길 10-10,02-599-7646,dsc7646@hanmail.net
서울특별시,13,까리따스가정폭력상담소,서울시 송파구 석촌호수로 220 보정빌딩 402호,02-2202-7806,jscounseling@naver.com
부산광역시,14,(사)부산여성장애인연대 부설 성가정통합상담소,"부산 중앙대로 196번길 12-3, 부산장애인회관 4층(초량동)",051-583-7735,98pdaws@hanmail.net
부산광역시,15,(사)부산여성의전화 성·가정폭력상담소,"부산광역시 부산진구 가야대로 607, 4층(가야동)",051-817-4344,pwhl4344@hanmail.net
부산광역시,16,부산성폭력가정폭력상담소,"부산시 동래구 중앙대로 1523 SK허브스카이 A3동 05,06호",051-558-8833,woman-world@hanmail.net
부산광역시,17,다함께 성·가정상담센터,부산시 수영구 연수로 392,051-753-1377,ingu1004@hanmail.net
